defending_team,xCS_a,xCS_h,matches_a,matches_h,xCS_per_game_a,xCS_per_game_h,total_xCS,actual_cs
Arsenal,3.2149281076635523,2.003888591883054,10,11,0.3214928107663552,0.18217169017118673,5.218816699546606,4
Aston_Villa,0.8697307173308039,2.0053001338094654,11,10,0.07906642884825489,0.20053001338094653,2.875030851140269,0
Bournemouth,2.1017893081917443,2.941870292891865,11,10,0.19107175529015857,0.2941870292891865,5.0436596010836094,4
Brighton,2.3422312656201547,3.4696023795526885,10,11,0.23422312656201547,0.3154183981411535,5.811833645172843,5
Burnley,2.829248862211882,2.8597688815582845,10,11,0.2829248862211882,0.2599789892325713,5.689017743770167,7
Chelsea,2.2673259078957777,3.887323946340715,11,10,0.20612053708143432,0.3887323946340715,6.154649854236492,4
Crystal_Palace,1.7287320045709351,3.107765695160355,11,10,0.1571574549609941,0.3107765695160355,4.83649769973129,0
Everton,2.4573462274564712,3.3213290638000474,11,10,0.22339511158695194,0.33213290638000476,5.778675291256519,5
Leicester,3.484329887680664,3.7213163611962883,11,10,0.316757262516424,0.37213163611962885,7.205646248876953,8
Liverpool,3.8641946418027584,4.574072416602978,9,11,0.4293549602003065,0.41582476514572525,8.438267058405737,7
Manchester_City,3.247430762113497,3.9632264709434195,10,11,0.3247430762113497,0.36029331554031085,7.210657233056916,0
Manchester_United,3.653013119139147,3.723873287232173,11,10,0.3320921017399225,0.3723873287232173,7.3768864063713195,0
Newcastle_United,1.096069548671116,1.8335091175272848,10,11,0.10960695486711161,0.16668264704793498,2.9295786661984007,0
Norwich,2.0620926751128246,1.613810156719751,10,11,0.20620926751128246,0.14671001424725008,3.6759028318325755,2
Sheffield_United,2.3919899248042027,3.5992251668707538,11,10,0.2174536295276548,0.35992251668707537,5.991215091674956,0
Southampton,2.3364670659032036,3.105875147291589,10,11,0.23364670659032036,0.2823522861174172,5.4423422131947925,4
Tottenham,2.7388007418882414,3.581383286577852,11,10,0.24898188562620377,0.35813832865778517,6.320184028466093,2
Watford,2.0066663489161534,3.464817697186047,10,11,0.20066663489161535,0.3149834270169134,5.4714840461022005,6
West_Ham,1.0049384992826744,1.258157588423775,10,10,0.10049384992826745,0.1258157588423775,2.263096087706449,0
Wolverhampton_Wanderers,3.3876440878857856,2.5866142252886393,11,10,0.30796764435325324,0.2586614225288639,5.974258313174425,0
