defending_team,xCS_a,xCS_h,matches_a,matches_h,xCS_per_game_a,xCS_per_game_h,total_xCS,actual_cs
Arsenal,3.936147600128786,2.360148703944739,11,12,0.35783160001170783,0.1966790586620616,6.296296304073525,4
Aston_Villa,1.1054787168804212,2.0212174523301343,12,11,0.09212322640670177,0.1837470411209213,3.1266961692105557,0
Bournemouth,2.1828523003108544,3.000683232196227,12,11,0.18190435835923788,0.27278938474511155,5.183535532507081,4
Brighton,2.529901591774853,4.02629754154442,11,12,0.2299910537977139,0.3355247951287017,6.556199133319273,5
Burnley,2.845267016560214,2.914520285626864,11,12,0.25866063786911037,0.24287669046890534,5.759787302187078,7
Chelsea,2.6484890271857586,4.496518330074434,12,11,0.22070741893214654,0.40877439364313034,7.145007357260193,5
Crystal_Palace,1.7809212867201438,3.3840029716566224,12,11,0.14841010722667866,0.30763663378696565,5.164924258376766,0
Everton,2.598052388505648,3.451391918677155,12,11,0.21650436570880402,0.31376290169792315,6.049444307182803,6
Leicester,3.5181927890740363,3.7836322286823147,12,11,0.2931827324228364,0.3439665662438468,7.301825017756351,8
Liverpool,4.118584990795175,4.678831817221435,10,12,0.4118584990795175,0.3899026514351196,8.79741680801661,9
Manchester_City,3.4139314037285975,4.468126760425334,11,12,0.3103574003389634,0.37234389670211115,7.882058164153932,0
Manchester_United,3.7551901870742785,4.477198591276278,12,11,0.31293251558952323,0.4070180537523889,8.232388778350558,0
Newcastle_United,1.1514897243729927,1.9359295611969534,11,12,0.10468088403390842,0.16132746343307944,3.087419285569946,0
Norwich,2.0697040585127184,2.1525479132739744,11,12,0.18815491441024712,0.1793789927728312,4.222251971786693,3
Sheffield_United,2.551176551141662,3.970827593827386,12,11,0.21259804592847184,0.36098432671158054,6.522004144969047,0
Southampton,2.7294986628836586,3.1386799101957252,11,12,0.2481362420803326,0.2615566591829771,5.868178573079383,4
Tottenham,2.7862541417139512,3.710840546283195,12,11,0.23218784514282928,0.3373491405711995,6.497094687997146,3
Watford,2.7268351651123135,3.5650015776937187,11,12,0.24789410591930122,0.2970834648078099,6.291836742806032,8
West_Ham,1.0710046104632909,1.4704514519394853,11,11,0.09736405549666281,0.1336774047217714,2.5414560624027764,0
Wolverhampton_Wanderers,3.8190463044178236,3.412479026390478,12,11,0.3182538587014853,0.310225366035498,7.231525330808301,0
