id,first_name,second_name,web_name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW
71,Sam,Surridge,Surridge,0,46,0,0,0,24,1,9,32,3.4,1,0,71,0,0,8,0,0,0,4.2,19.8,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,90,0,0,16,0,0,0,0,5,0,1,0,120639,0,0,0,0,0,19,6,0,0,0,50,FALSE,0,0,1
72,Asmir,Begovic,Begovic,0,46,0,0,1,30,1,19,34,10.5,0,0,72,0,0,8,0,0,0,6.7,50.8,1,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,90,0,0,16,0,0,0,0,4,0,1,0,461762,0,0,1,0,0,6,7,0,0,0,50,FALSE,0,0,1
73,Artur,Boruc,Boruc,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,8,0,0,0,0,0,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,0,0,0,16,0,0,0,0,0,0,1,0,42014,0,0,0,0,0,0,0,0,0,0,45,FALSE,0,0,1
74,Mark,Travers,Travers,0,0,0,0,0,2,0,0,0,0,0,0,74,0,0,8,1,0,0,0,0,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,3,0,0,16,0,0,0,0,0,0,1,0,11525,0,0,0,0,0,0,1,0,0,0,45,FALSE,0,0,1
75,Ryan,Fraser,Fraser,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,8,0,0,0,0,0,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,0,0,0,16,0,0,0,0,0,0,1,0,10336,0,0,0,0,0,0,0,0,0,0,45,FALSE,0,0,1
76,David,Brooks,Brooks,0,26,0,0,0,6,1,2,21,31.1,2,0,76,0,0,8,0,0,0,7.9,7,2,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,86,0,0,16,0,0,0,0,5,0,1,0,98144,5,0,1,0,0,41,3,0,0,0,60,FALSE,0,0,1
77,Junior,Stanislas,Stanislas,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,8,0,0,0,0,0,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,0,0,0,16,0,0,0,0,0,0,1,0,757,0,0,0,0,0,0,0,0,0,0,55,FALSE,0,0,1
78,Jordon,Ibe,Ibe,0,30,0,1,0,1,1,0,20,6.5,1,0,78,0,0,8,1,0,0,4.5,5.4,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,75,0,0,16,0,0,0,0,1,0,1,0,9008,4,1,0,0,0,33,3,0,0,0,55,FALSE,0,0,1
79,Lewis,Cook,Lewis Cook,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,8,0,0,0,0,0,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,0,0,0,16,0,0,0,0,0,0,1,0,1913,0,0,0,0,0,0,0,0,0,0,55,FALSE,0,0,1
80,Andrew,Surman,Surman,0,48,0,0,0,13,1,3,41,25.3,0,0,80,0,0,8,1,0,0,5,15.4,2,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,90,0,0,16,0,0,0,0,3,0,1,0,9023,1,1,1,0,0,9,3,0,0,0,45,FALSE,0,0,1
