id,first_name,second_name,web_name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW
110,Olivier,Giroud,Giroud,0,22,0,0,0,8,0,0,15,25.8,5,0,110,0,0,2,1,1,0,6.9,8,2,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,87,1,0,2,0,0,0,0,4,0,1,0,33401,2,0,2,0,2,35,2,0,0,0,55,FALSE,0,0,1
111,Kepa,Arrizabalaga,Kepa,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,78468,0,0,0,3,0,0,0,0,0,0,55,FALSE,0,0,1
112,Willy,Caballero,Caballero,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,8785,0,0,0,3,0,0,0,0,0,0,50,FALSE,0,0,1
113,Willian,Borges Da Silva,Willian,0,76,0,0,0,29,1,6,70,9.9,1,0,113,0,0,4,0,0,0,3.3,22.6,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,1,10,0,0,0,0,8,0,1,0,745918,2,0,0,3,0,0,6,0,0,0,65,FALSE,0,0,1
114,Pedro,Rodríguez Ledesma,Pedro,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,65491,0,0,0,3,0,0,0,0,0,0,55,FALSE,0,0,1
115,Ruben,Loftus-Cheek,Loftus-Cheek,1,73,0,1,2,32,1,2,67,19.9,1,0,115,0,0,4,1,0,0,5.1,13,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,1,10,0,0,0,0,6,0,1,0,727837,1,0,2,3,0,18,11,0,0,0,65,FALSE,0,0,1
116,Callum,Hudson-Odoi,Hudson-Odoi,0,93,0,0,0,27,1,5,86,2,1,0,116,0,0,4,1,0,0,2.2,20.2,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,10,0,0,0,0,8,0,1,0,160332,0,1,0,3,0,0,5,0,0,0,55,FALSE,0,1,1
117,Ross,Barkley,Barkley,0,4,0,0,0,2,0,0,4,10.8,0,0,117,0,0,4,1,0,0,1.2,1.2,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,9,0,0,10,0,0,0,0,0,0,1,0,211948,1,0,0,3,0,0,1,0,0,0,60,FALSE,0,0,1
118,Jorge Luiz,Frello Filho,Jorginho,0,75,1,0,3,35,1,3,70,11.9,0,0,118,0,0,4,0,0,0,5.4,20.6,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,10,0,0,0,0,8,0,1,0,135804,1,3,1,3,0,21,9,0,0,0,60,FALSE,0,0,1
119,N'Golo,Kanté,Kanté,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,61061,0,0,0,3,0,0,0,0,0,0,55,FALSE,0,0,1
120,Daniel,Drinkwater,Drinkwater,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,14783,0,0,0,3,0,0,0,0,0,0,55,FALSE,0,0,1
121,Ethan,Ampadu,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,9242,0,0,0,3,0,0,0,0,0,0,55,FALSE,0,0,1
431,Christian,Pulisic,Pulisic,0,10,0,0,0,3,0,1,9,1.2,1,0,431,0,0,10,0,0,0,0.3,2.2,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,14,0,0,8,0,0,0,0,0,0,1,0,7145,1,0,0,2,2,0,1,0,0,0,45,TRUE,0,0,1
432,Mateo,Kovacic,Kovacic,1,32,0,0,0,15,0,2,25,9.8,3,0,432,0,0,10,2,2,0,1.9,4.2,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,0,1,8,0,0,0,0,3,0,1,0,314441,5,0,1,2,2,5,5,0,0,0,65,TRUE,0,0,1
123,Patrick,van Aanholt,van Aanholt,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,67338,0,0,0,3,0,0,0,0,0,0,65,FALSE,0,0,1
124,James,Tomkins,Tomkins,1,27,0,0,0,17,1,0,25,48.3,3,0,124,0,0,4,0,0,0,9.7,26.4,3,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,75,0,1,10,0,0,0,0,1,0,1,0,411692,5,0,0,3,0,22,6,0,0,0,75,FALSE,0,0,1
125,Mamadou,Sakho,Sakho,0,49,0,0,1,31,1,3,41,19.4,4,0,125,0,0,4,0,0,1,8.3,42.6,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,80,0,0,10,0,0,0,0,4,0,1,0,96685,4,0,0,3,0,21,9,0,0,0,65,FALSE,0,0,1
126,Joel,Ward,Ward,0,53,0,0,0,30,1,4,45,11.2,0,0,126,0,0,4,0,0,1,7.1,42.4,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,10,0,0,0,0,4,0,1,0,889970,4,0,0,3,0,17,8,0,0,0,50,FALSE,1,0,1
127,Scott,Dann,Dann,0,44,0,0,0,12,1,2,39,17.8,1,0,127,0,0,4,2,0,0,4.5,7.4,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,67,0,0,10,0,0,0,0,5,0,1,0,22315,2,1,0,3,0,20,3,0,0,0,60,FALSE,0,0,1
128,Martin,Kelly,Kelly,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,9829,0,0,0,3,0,0,0,0,0,0,50,FALSE,0,0,1
129,Christian,Benteke,Benteke,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,14331,0,0,0,3,0,0,0,0,0,0,50,FALSE,0,0,1
130,Connor,Wickham,Wickham,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,3328,0,0,0,3,0,0,0,0,0,0,45,FALSE,0,0,1
131,Vicente,Guaita,Guaita,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,119739,0,0,0,3,0,0,0,0,0,0,45,FALSE,0,0,1
132,Wayne,Hennessey,Hennessey,0,9,0,0,0,5,0,0,9,1.3,0,0,132,0,0,4,0,0,0,0.4,2.2,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,22,0,0,10,0,0,0,0,0,0,1,0,55849,0,1,0,3,0,0,1,0,0,0,55,FALSE,0,0,1
133,Wilfried,Zaha,Zaha,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,10,0,0,0,0,0,0,1,0,188771,0,0,0,3,0,0,0,0,0,0,80,FALSE,0,0,1
134,Luka,Milivojevic,Milivojevic,0,29,0,0,0,1,1,0,19,6.9,3,0,134,0,0,4,2,0,0,4.9,2,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,1,0,10,0,0,0,0,1,0,1,0,151388,5,0,0,3,0,40,2,0,0,0,90,FALSE,0,0,1
135,Andros,Townsend,Townsend,0,26,0,0,1,33,1,1,13,0,0,0,135,0,0,3,0,0,0,4.3,42.6,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,9,0,0,0,0,11,0,1,6,49531,0,0,0,2,0,0,9,0,0,0,45,FALSE,0,0,1
136,Max,Meyer,Meyer,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,9,0,0,0,0,0,0,1,0,727239,0,0,0,2,0,0,0,0,0,0,40,FALSE,0,0,1
137,Jeffrey,Schlupp,Schlupp,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,9,0,0,0,0,0,0,1,0,12383,0,0,0,2,0,0,0,0,0,0,45,FALSE,0,0,1
138,James,McArthur,McArthur,0,37,0,0,0,29,1,12,31,0.4,0,0,138,0,0,3,0,0,0,4.9,27.2,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,9,0,0,0,0,5,0,1,0,428025,0,0,0,2,0,21,6,0,0,0,45,FALSE,0,0,1
139,Cheikhou,Kouyaté,Kouyaté,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,9,0,0,0,0,0,0,1,0,779,0,0,0,2,0,0,0,0,0,0,45,FALSE,0,0,1
140,Luke,Dreher,Dreher,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,9,0,0,0,0,0,0,1,0,409020,0,0,0,2,0,0,0,0,0,0,40,FALSE,0,0,1
141,Lucas,Digne,Digne,0,23,0,0,0,30,1,3,18,1.4,2,0,141,0,0,3,2,0,1,6.3,42.6,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,9,0,0,0,0,4,0,1,0,29820,4,1,0,2,0,19,11,0,0,0,45,FALSE,1,1,1
142,Yerry,Mina,Mina,1,38,0,0,2,36,1,5,30,22.4,3,0,142,0,0,3,0,0,0,8.1,35.6,2,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,2,0,9,0,0,0,0,7,0,1,0,244166,0,0,0,2,0,23,11,0,0,0,55,FALSE,0,0,1
143,Michael,Keane,Keane,0,32,0,0,1,33,1,8,30,0.1,0,0,143,0,0,3,0,0,0,1.9,18.6,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,9,0,0,0,0,5,0,1,0,67303,0,2,0,2,0,0,7,0,0,0,50,FALSE,0,0,1
144,Seamus,Coleman,Coleman,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,9,0,0,0,0,0,0,1,0,4442,0,0,0,2,0,0,0,0,0,0,45,FALSE,0,0,1
145,Leighton,Baines,Baines,1,29,1,0,3,38,1,11,19,14,2,0,145,0,0,3,0,0,0,6,46,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,9,0,0,0,0,7,0,1,0,652304,2,0,0,2,0,0,12,0,0,0,40,FALSE,0,0,1
146,Cenk,Tosun,Tosun,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,9,0,0,0,0,0,0,1,0,40154,0,0,0,2,0,0,0,0,0,0,45,FALSE,0,0,1
147,Dominic,Calvert-Lewin,Calvert-Lewin,0,36,0,0,0,14,1,4,27,12.4,0,0,147,0,0,3,2,0,0,2.9,14.2,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,9,0,0,0,0,6,0,1,0,85461,1,2,0,2,0,2,3,0,0,0,50,FALSE,0,0,1
148,Jordan,Pickford,Pickford,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,9,0,0,0,0,0,0,1,0,1455,0,0,0,2,0,0,0,0,0,0,50,FALSE,0,0,1
149,Maarten,Stekelenburg,Stekelenburg,0,31,0,0,0,9,1,1,23,17.5,3,0,149,0,0,3,0,0,0,6.3,27.6,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,87,0,1,9,0,0,0,0,8,0,1,0,115533,6,0,0,2,0,18,3,0,0,0,60,FALSE,0,0,1
150,Richarlison,de Andrade,Richarlison,0,38,0,0,0,16,1,3,28,34.6,0,0,150,0,0,3,3,0,0,5.1,16.8,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,1,9,0,0,0,0,5,0,1,0,465750,0,4,0,2,0,0,3,0,0,0,65,FALSE,0,0,1
151,Gylfi,Sigurdsson,Sigurdsson,0,25,0,1,0,17,1,0,19,8.3,2,0,151,0,0,3,2,0,1,9.8,37.4,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,1,0,9,0,0,0,0,2,0,1,0,1424847,8,1,0,2,0,52,5,0,0,0,70,FALSE,0,1,1
152,Bernard,Anício Caldeira Duarte,Bernard,0,28,1,0,0,9,1,1,14,24,2,0,152,0,0,3,2,0,0,8.6,13.6,2,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,82,0,0,9,0,0,0,0,2,0,1,0,54689,2,0,0,2,0,48,2,0,0,0,65,FALSE,0,0,1
153,Theo,Walcott,Walcott,0,4,0,0,0,4,0,0,3,10.3,0,0,153,0,0,3,0,0,0,1.5,2.2,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,7,0,0,9,0,0,0,0,3,0,1,0,14555,1,0,0,2,0,2,1,0,0,0,50,FALSE,0,0,1
154,Tom,Davies,Davies,0,35,0,0,0,13,0,1,10,0,0,0,154,0,0,10,0,2,0,1.5,15,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,0,0,20,0,0,0,0,9,0,1,2,985344,0,0,0,2,2,0,1,0,0,0,50,FALSE,0,0,1
155,Ademola,Lookman,Lookman,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,219323,0,0,0,2,2,0,0,0,0,0,40,FALSE,0,0,1
156,Idrissa,Gueye,Gueye,0,52,0,0,0,17,0,7,44,32.4,1,0,156,0,0,10,0,2,0,5.6,23.4,2,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,1,0,20,0,0,0,0,5,0,1,0,84579,1,1,0,2,2,0,1,0,0,0,55,FALSE,0,0,1
157,James,McCarthy,McCarthy,0,34,0,0,0,8,0,4,23,1.8,0,0,157,0,0,10,0,2,0,4.9,26.4,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,0,0,20,0,0,0,0,4,0,1,0,148392,1,0,0,2,2,21,1,0,0,0,55,FALSE,0,0,1
158,Morgan,Schneiderlin,Schneiderlin,0,24,0,0,0,-5,0,2,19,0,0,0,158,0,0,10,1,2,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,39,0,0,20,0,0,0,0,3,1,1,0,100143,0,0,0,2,2,0,-3,0,0,0,45,FALSE,0,0,1
422,André Filipe,Tavares Gomes,André Gomes,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,8,0,0,0,0,0,0,1,0,117293,0,0,0,2,2,0,0,0,0,0,40,TRUE,0,0,1
159,Ricardo Domingos,Barbosa Pereira,Pereira,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,7642,0,0,0,2,2,0,0,0,0,0,45,FALSE,0,0,1
160,Harry,Maguire,Maguire,0,21,0,0,0,8,0,6,18,0.1,0,0,160,0,0,10,0,2,0,1.4,13.6,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,47,0,0,20,0,0,0,0,0,0,1,0,3574,0,1,0,2,2,0,0,0,0,0,45,FALSE,0,0,1
161,Benjamin,Chilwell,Chilwell,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,11386,0,0,0,2,2,0,0,0,0,0,45,FALSE,0,0,1
162,Jonny,Evans,Evans,1,48,1,0,1,27,0,9,39,10.2,0,0,162,0,0,10,0,2,0,7.6,40.4,1,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,0,0,20,0,0,0,0,4,0,1,0,117954,0,0,1,2,2,25,5,0,0,0,50,FALSE,0,0,1
163,Christian,Fuchs,Fuchs,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,9177,0,0,0,2,2,0,0,0,0,0,45,FALSE,0,0,1
164,Çaglar,Söyüncü,Söyüncü,0,18,0,0,0,6,0,1,10,2.3,2,0,164,0,0,10,1,2,0,1.3,6.2,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,1,0,20,0,0,0,0,4,0,1,0,93127,1,0,0,2,2,4,2,0,0,0,65,FALSE,0,0,1
165,Wes,Morgan,Morgan,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,16150,0,0,0,2,2,0,0,0,0,0,60,FALSE,0,0,1
166,Jamie,Vardy,Vardy,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,1234,0,0,0,2,2,0,0,0,0,0,45,FALSE,0,0,1
167,Kelechi,Iheanacho,Iheanacho,0,51,0,0,0,14,0,4,44,4.4,0,0,167,0,0,10,2,2,0,1.6,11.8,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,0,0,20,0,0,0,0,7,0,1,0,115922,0,1,0,2,2,0,2,0,0,0,45,FALSE,0,0,1
168,Kasper,Schmeichel,Schmeichel,0,54,0,0,0,15,0,3,45,3.5,0,0,168,0,0,10,0,2,0,1.7,13.6,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,0,0,20,0,0,0,0,4,0,1,0,28400,1,2,0,2,2,0,2,0,0,0,50,FALSE,0,0,1
169,Eldin,Jakupovic,Jakupovic,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,11634,0,0,0,2,2,0,0,0,0,0,55,FALSE,0,0,1
170,Danny,Ward,Ward,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,12390,0,0,0,2,2,0,0,0,0,0,55,FALSE,0,0,1
171,James,Maddison,Maddison,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,802,0,0,0,2,2,0,0,0,0,0,60,FALSE,0,0,1
172,Harvey,Barnes,Barnes,0,7,0,0,0,0,0,0,5,1.5,0,0,172,0,0,10,1,0,0,0.2,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,43,1,0,20,0,0,0,0,0,0,1,0,106177,1,0,0,2,2,2,1,0,0,0,75,FALSE,0,0,1
173,Rachid,Ghezzal,Ghezzal,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,1737,0,0,0,2,2,0,0,0,0,0,50,FALSE,0,0,1
174,Marc,Albrighton,Albrighton,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,2914,0,0,0,2,2,0,0,0,0,0,45,FALSE,0,0,1
175,Demarai,Gray,Gray,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,68885,0,0,0,2,2,0,0,0,0,0,55,FALSE,0,0,1
176,Wilfred,Ndidi,Ndidi,0,9,0,0,0,1,0,0,5,0.5,0,0,176,0,0,10,0,0,0,0.3,0.6,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,9,0,0,20,0,0,0,0,0,0,1,0,46205,2,0,0,2,2,2,1,0,0,0,55,FALSE,0,0,1
177,Matty,James,James,1,24,0,0,0,18,0,1,17,17.2,0,0,177,0,0,10,0,2,0,5.3,25,1,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,80,0,1,20,0,0,0,0,3,0,1,0,302582,2,1,0,2,2,11,5,0,0,0,70,FALSE,0,0,1
178,Daniel,Amartey,Amartey,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,7,0,0,0,0,0,0,1,0,14241,0,0,0,2,0,0,0,0,0,0,45,TRUE,0,0,1
179,Nampalys,Mendy,Mendy,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,9,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,1,0,85325,0,0,0,0,2,0,0,0,0,0,40,FALSE,0,0,1
180,Hamza,Choudhury,Choudhury,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,7,0,0,0,0,0,0,1,0,22808,0,0,0,2,0,0,0,0,0,0,45,TRUE,0,0,1
265,Ayoze,Pérez,Pérez,0,65,0,0,1,27,1,5,59,1.9,3,0,265,0,0,1,1,0,0,1.6,11.8,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,90,0,0,1,0,0,0,0,4,0,1,0,545462,2,0,0,2,0,2,7,0,0,0,65,FALSE,0,0,1
433,James,Justin,Justin,1,93,1,0,2,44,0,1,78,27.8,2,0,433,0,0,10,1,2,1,10.4,60.6,1,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,0,1,8,0,0,0,0,6,0,1,0,633569,2,1,1,2,2,16,12,0,0,0,50,TRUE,0,0,1
181,Andrew,Robertson,Robertson,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,7,0,0,0,0,0,0,1,0,12353,0,0,0,2,0,0,0,0,0,0,45,TRUE,0,0,1
182,Trent,Alexander-Arnold,Alexander-Arnold,0,93,0,0,0,15,0,3,90,20.3,1,0,182,0,0,3,0,2,0,4.5,16.8,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,7,0,0,0,0,8,0,1,0,153810,2,0,0,2,0,8,2,0,0,0,50,TRUE,0,0,1
183,Virgil,van Dijk,van Dijk,0,84,0,0,0,16,0,3,77,6.3,0,0,183,0,0,3,0,2,0,3.2,17.8,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,7,0,0,0,0,7,0,1,0,20352,0,2,0,2,0,8,1,0,0,0,45,TRUE,0,1,1
184,Joseph,Gomez,Gomez,0,40,0,0,0,6,0,4,31,18.6,0,0,184,0,0,3,1,2,0,5.8,14.2,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,1,0,7,0,0,0,0,3,0,1,0,472564,4,0,0,2,0,25,2,0,0,0,65,TRUE,0,0,1
185,Joel,Matip,Matip,0,7,0,0,0,6,0,0,4,4.4,0,0,185,0,0,3,0,0,0,1.1,6.8,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,8,0,1,7,0,0,0,0,0,0,1,0,8305,0,1,0,2,0,0,1,0,0,0,55,TRUE,0,0,1
186,Dejan,Lovren,Lovren,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,7,0,0,0,0,0,0,1,0,8882,0,0,0,2,0,0,0,0,0,0,45,TRUE,0,0,1
187,Roberto,Firmino,Firmino,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,7,0,0,0,0,0,0,1,0,5634,0,0,0,2,0,0,0,0,0,0,45,TRUE,0,0,1
188,Divock,Origi,Origi,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,3,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,7,0,0,0,0,0,0,1,0,21217,0,0,0,2,0,0,0,0,0,0,45,TRUE,0,0,1
189,Alisson,Ramses Becker,Alisson,0,15,0,0,0,2,0,0,10,25.6,3,0,189,0,0,3,3,1,0,5.4,6.2,2,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,29,1,1,7,0,0,0,0,0,0,1,0,499362,2,0,1,2,0,22,1,0,0,0,45,TRUE,0,0,1
190,Simon,Mignolet,Mignolet,0,39,0,0,0,11,0,1,21,0,0,0,190,0,0,4,0,3,0,1.3,13.2,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,6,0,0,0,0,10,0,1,1,124117,0,0,0,3,0,0,1,0,0,0,40,TRUE,0,0,1
191,Mohamed,Salah,Salah,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,4,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,6,0,0,0,0,0,0,1,0,100431,0,0,0,3,0,0,0,0,0,0,45,TRUE,0,0,1
192,Sadio,Mané,Mané,0,29,0,0,0,6,0,7,26,0.2,0,0,192,0,0,4,1,3,0,2,20.2,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,6,0,1,0,0,6,0,1,0,164951,0,1,0,3,0,0,0,0,0,0,45,TRUE,0,1,1
193,Alex,Oxlade-Chamberlain,Chamberlain,0,20,0,0,0,9,0,1,15,15.8,0,0,193,0,0,4,0,2,0,2.3,7.6,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,70,1,1,6,0,0,0,0,0,0,1,0,8906,0,1,0,3,0,0,1,0,0,0,45,TRUE,0,0,1
