"","chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","plural_name","plural_name_short","singular_name","singular_name_short","squad_select","squad_min_play","squad_max_play","ui_shirt_specific","element_count","draw","loss","name","played","points","position","short_name","strength","team_division","unavailable","win","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","pulse_id","vapm","games"
"11",NA,NA,98745,0,0,0,0,0,2,"3.1",NA,0,"Héctor","0.0",11,FALSE,"",NA,50,"98745.jpg",2.9,"Bellerín","2.4",FALSE,NA,"a",1,3,44,0,0,0,0,"0.0","8.8","Bellerín",1156,1,0,4,18,0,0,0,2,0,0,4,204,"187.8","76.9","103.0","37.0",270,101,246,79,229,68,282,99,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.018,15
"12",NA,NA,98980,0,0,0,0,0,1,"2.7",NA,0,"Emiliano","0.0",12,FALSE,"",NA,45,"98980.jpg",3.7,"Martínez","5.9",FALSE,NA,"a",1,3,33,0,0,0,0,"0.0","7.3","Martínez",770,0,0,3,9,0,0,0,2,0,34,1,169,"256.8","0.0","0.0","25.8",228,20,397,30,382,25,302,20,"Goalkeepers","GKP","Goalkeeper","GKP",2,1,1,TRUE,49,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0377777777777778,9
"13",0,NA,101184,0,0,0,0,0,2,"0.0",NA,0,"Calum","0.0",13,FALSE,"Knee injury - Unknown return date","2020-08-15T10:00:11.386295Z",45,"101184.jpg",3,"Chambers","0.0",FALSE,NA,"i",1,3,42,0,0,0,0,"0.0","9.3","Chambers",1102,1,1,3,15,0,0,0,5,0,0,5,197,"272.0","113.5","203.0","58.7",220,84,216,59,169,36,232,73,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0222222222222222,14
"14",NA,NA,111457,0,0,0,0,0,2,"3.1",NA,0,"Sead","0.0",14,FALSE,"",NA,50,"111457.jpg",2.1,"Kolasinac","0.2",FALSE,NA,"a",1,3,55,0,0,0,0,"0.0","11.0","Kolasinac",1694,0,2,4,26,0,0,0,4,0,0,1,331,"269.6","182.5","81.0","53.0",222,85,177,40,253,82,248,80,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.002,26
"15",NA,NA,154043,0,0,0,0,0,2,"3.1",NA,0,"Ainsley","0.0",15,FALSE,"",NA,50,"154043.jpg",2,"Maitland-Niles","0.5",FALSE,NA,"a",1,3,41,0,0,0,0,"0.0","8.2","Maitland-Niles",1382,0,2,3,22,0,0,0,4,1,0,3,244,"301.8","182.0","58.0","53.6",203,77,178,41,274,94,242,78,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0,20
"16",NA,NA,156074,0,0,0,0,0,2,"2.6",NA,0,"Rob","0.0",16,FALSE,"",NA,45,"156074.jpg",2,"Holding","0.5",FALSE,NA,"a",1,3,16,0,0,0,0,"0.0","3.6","Holding",580,0,0,1,9,0,0,0,1,0,0,2,96,"133.6","4.8","19.0","15.8",295,112,339,126,310,115,327,118,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0,8
"17",NA,NA,192895,0,0,0,0,0,2,"3.5",NA,0,"Kieran","0.0",17,FALSE,"",NA,55,"192895.jpg",2.8,"Tierney","10.0",FALSE,NA,"a",1,3,42,0,0,0,0,"0.0","7.6","Tierney",986,1,2,2,16,0,0,0,2,0,0,4,213,"201.8","121.1","73.0","39.8",263,98,213,56,263,89,276,95,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0145454545454545,15
"18",NA,NA,195735,0,0,0,0,0,3,"3.7",NA,0,"Nicolas","0.0",18,FALSE,"",NA,80,"195735.jpg",3.4,"Pépé","2.5",FALSE,NA,"a",1,3,106,0,0,0,0,"0.0","13.2","Pépé",2004,5,6,5,30,0,0,0,4,0,0,9,353,"500.2","639.4","624.0","176.5",120,42,27,21,49,26,45,25,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0175,31
"19",NA,NA,198849,0,0,0,0,0,3,"2.4",NA,0,"Lucas","0.0",19,FALSE,"",NA,50,"198849.jpg",1.6,"Torreira","0.3",FALSE,NA,"a",1,3,46,0,0,0,0,"0.0","9.2","Torreira",1501,1,1,3,23,0,0,0,7,0,0,0,247,"281.8","207.1","207.0","69.7",215,90,164,107,165,89,198,99,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0,29
"20",NA,NA,200089,0,0,0,0,0,3,"2.4",NA,0,"Joseph","0.0",20,FALSE,"",NA,50,"200089.jpg",1.4,"Willock","0.2",FALSE,NA,"a",1,3,41,0,0,0,0,"0.0","8.2","Willock",838,1,1,1,16,0,0,0,2,0,0,0,150,"176.8","165.9","212.0","55.2",275,119,186,115,158,87,239,116,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0,29
