name,position,team,points,price
Connolly,FWD,Brighton,61,5.5
Murray,FWD,Brighton,36,5
Andone,FWD,Brighton,5,5
Pope,GKP,Burnley,170,5.5
Peacock-Farrell,GKP,Burnley,0,4
Tarkowski,DEF,Burnley,143,5.5
Mee,DEF,Burnley,110,5
Bardsley,DEF,Burnley,78,4.5
Pieters,DEF,Burnley,77,4.5
Long,DEF,Burnley,21,4.5
Lowton,DEF,Burnley,48,4.5
Taylor,DEF,Burnley,84,4.5
Gibson,DEF,Burnley,0,4
McNeil,MID,Burnley,123,6
Westwood,MID,Burnley,118,5.5
Gudmundsson,MID,Burnley,30,5.5
Cork,MID,Burnley,70,5
Brady,MID,Burnley,32,5
Brownhill,MID,Burnley,21,5
Wood,FWD,Burnley,136,6.5
Rodriguez,FWD,Burnley,100,6
Barnes,FWD,Burnley,61,6
Vydra,FWD,Burnley,39,5
Caballero,GKP,Chelsea,13,5
Arrizabalaga,GKP,Chelsea,90,5
Azpilicueta,DEF,Chelsea,130,6
Alonso,DEF,Chelsea,100,6
Rüdiger,DEF,Chelsea,63,5
Zouma,DEF,Chelsea,62,5
Emerson,DEF,Chelsea,19,5
Christensen,DEF,Chelsea,34,5
Tomori,DEF,Chelsea,48,5
James,DEF,Chelsea,61,5
Pulisic,MID,Chelsea,127,8.5
Ziyech,MID,Chelsea,0,8
Mount,MID,Chelsea,137,7
Barkley,MID,Chelsea,61,6
Loftus-Cheek,MID,Chelsea,12,6
Hudson-Odoi,MID,Chelsea,53,6
Kovacic,MID,Chelsea,68,5.5
Jorginho,MID,Chelsea,92,5
Kanté,MID,Chelsea,57,5
Gilmour,MID,Chelsea,9,4.5
Werner,FWD,Chelsea,0,9.5
Abraham,FWD,Chelsea,153,7.5
Giroud,FWD,Chelsea,68,7
Batshuayi,FWD,Chelsea,28,6
Guaita,GKP,Crystal Palace,137,5
Hennessey,GKP,Crystal Palace,7,4.5
van Aanholt,DEF,Crystal Palace,109,5.5
Cahill,DEF,Crystal Palace,70,4.5
